ct_sc_pipeline	average_spearman_log2FoldChange	sd_spearman_log2FoldChange	n_pairs
oligodendrocyte.precursor.cell	0.982304253397731	0.01278179542232034	8
vip.GABAergic.cortical.interneuron	0.9757669932148059	0.0140868897448817	8
astrocyte	0.9666292446108449	0.027182641251625703	8
pvalb.GABAergic.cortical.interneuron	0.9654085751688882	0.03014641836157838	8
chandelier.pvalb.GABAergic.cortical.interneuron	0.9547099822674849	0.048203227269778735	8
oligodendrocyte	0.9415278354951565	0.05723043432624586	8
sncg.GABAergic.cortical.interneuron	0.8651991738938233	0.06326100334886649	8
PAX6.GABAergic.cortical.interneuron	0.8542496582476931	0.09101006967167923	8
lamp5.GABAergic.cortical.interneuron	0.832354000875736	0.07880402415773483	16
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	0.7446753494886743	0.1533214289343232	40
sst.GABAergic.cortical.interneuron	0.666259836278386	0.30899160967332795	16
deep.layer.non.IT	0.6546460570496109	0.1824168250778457	32
microglial.cell	0.6376962023314829	0.33911159998223395	16
vascular	0.6048335667204804	0.18925321145084864	32
