ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
vascular.leptomeningeal.cell	Micro	0.2012554075086022	0.14267130089168287
vascular.leptomeningeal.cell	Sst	0.23901186910087607	0.12027514497799419
vascular.leptomeningeal.cell	Pax6	0.14659437458360203	0.1368469830015719
vascular.leptomeningeal.cell	VLMC	0.5381835425262425	0.39336717918761144
vascular.leptomeningeal.cell	Vip	0.23819707483631672	0.11264302473858509
vascular.leptomeningeal.cell	L5_ET	0.17873919452881232	0.12398971857287255
vascular.leptomeningeal.cell	L2.3_IT	0.24985709328702824	0.03333320351052958
vascular.leptomeningeal.cell	Endo	0.33975835098440604	0.3504037816472986
vascular.leptomeningeal.cell	Astro	0.2392442167948005	0.13130816133515755
vascular.leptomeningeal.cell	Chandelier	0.19415461738120457	0.13691350686547307
vascular.leptomeningeal.cell	OPC	0.21934185705672765	0.13181026787242678
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.2270454294769471	0.14324800060682738
vascular.leptomeningeal.cell	Immune	0.16878529890631144	0.1918257248561261
vascular.leptomeningeal.cell	PC	0.632626001089475	0.5102183260282381
vascular.leptomeningeal.cell	Oligo	0.22109173454546147	0.13474055295829715
vascular.leptomeningeal.cell	L6_CT	0.20999327348923408	0.11864988905560829
vascular.leptomeningeal.cell	Sncg	0.18549064867984547	0.1406027047710967
vascular.leptomeningeal.cell	L6_IT_Car3	0.16999075659195367	0.1105810333691627
vascular.leptomeningeal.cell	L5.6_NP	0.2402515139188434	0.11432353082794916
vascular.leptomeningeal.cell	SMC	0.46636896535574474	0.30392724600627175
vascular.leptomeningeal.cell	Sst_Chodl	0.08082125657774185	0.09528751940977974
vascular.leptomeningeal.cell	Pvalb	0.2504889392637946	0.10923141630050753
vascular.leptomeningeal.cell	L6_IT	0.2501465899392694	0.08687680605841315
vascular.leptomeningeal.cell	L5_IT	0.2754545352384078	0.07657443648262616
vascular.leptomeningeal.cell	Lamp5	0.2318925094369496	0.13199515251264418
vascular.leptomeningeal.cell	L6b	0.2394013332923955	0.09274458457355164
vascular.leptomeningeal.cell	L4_IT	0.2388511277602733	0.0966585329722952
