ct_sc_pipeline	average_spearman_pvalue	sd_spearman_pvalue	n_pairs
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	0.6319713450083417	0.2166079832269291	40
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	0.5000595438218718	0.20395314494689645	8
L6b.glutamatergic.cortical.neuron	0.8357067958279185	0.11723878678661898	8
PAX6.GABAergic.cortical.interneuron	0.7349895065306752	0.11281870842450714	8
astrocyte	0.9519710117365391	0.027209387271130314	8
chandelier.pvalb.GABAergic.cortical.interneuron	0.920502724415492	0.06153791152978584	8
corticothalamic.projecting.glutamatergic.cortical.neuron	0.7678297965894438	0.15718745522534733	8
endothelial.cell	0.6936443437980496	0.16950167578938907	8
lamp5.GABAergic.cortical.interneuron	0.703533802339159	0.13784306687716005	16
microglial.cell	0.5536289980936356	0.2912093412459452	16
near.projecting.glutamatergic.cortical.neuron	0.9492777791857673	0.037929608792269066	8
oligodendrocyte	0.9355502922601882	0.036256935657221684	8
oligodendrocyte.precursor.cell	0.972348201223295	0.016284996380883078	8
pvalb.GABAergic.cortical.interneuron	0.949386707607126	0.0328866498693008	8
sncg.GABAergic.cortical.interneuron	0.7536339492372333	0.10195895358253532	8
sst.GABAergic.cortical.interneuron	0.5576306333294128	0.3829794895085364	16
vascular.leptomeningeal.cell	0.3773105387413721	0.10512505979636977	8
vip.GABAergic.cortical.interneuron	0.9497194016156907	0.027911603669447595	8
