ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
vascular.leptomeningeal.cell	VLMC	0.3492403152999825	0.261474763387202	Disorder_MDD_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.963547110770308	0.903528074592918	Disorder_MDD_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.2390721856275885	0.0682563693335566	Disorder_MDD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.730632517607072	0.5031581269302955	Disorder_MDD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8710089442382698	0.736867359793709	Disorder_MDD_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.7471705826358397	0.624696528129722	Disorder_MDD_vs_Control
microglial.cell	Micro	0.9650217384765216	0.9110181959447834	Disorder_MDD_vs_Control
microglial.cell	Immune	0.6203280120764093	0.3396759754249296	Disorder_MDD_vs_Control
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	0.9068628996060972	0.7822529374433357	Disorder_MDD_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.8398480095732958	0.7119323846689093	Disorder_MDD_vs_Control
oligodendrocyte	Oligo	0.939710376169874	0.9286786160996148	Disorder_MDD_vs_Control
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	0.874512391894256	0.6384023518589914	Disorder_MDD_vs_Control
oligodendrocyte.precursor.cell	OPC	0.9956321272387068	0.9905978283800224	Disorder_MDD_vs_Control
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	0.9844679462233076	0.963982614896232	Disorder_MDD_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9089764886725044	0.8235405308210691	Disorder_MDD_vs_Control
endothelial.cell	Endo	0.780351570059958	0.545766599768616	Disorder_MDD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.901411079257856	0.8378809116357582	Disorder_MDD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.4563578631606754	0.1731236572155839	Disorder_MDD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.7892024828689501	0.6665242192610406	Disorder_MDD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.8119720179258532	0.6572934325412805	Disorder_MDD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.7341051795069211	0.5758116447200248	Disorder_MDD_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.9721952195817936	0.9349836746203768	Disorder_MDD_vs_Control
L6b.glutamatergic.cortical.neuron	L6b	0.909626148345002	0.7983674683228705	Disorder_MDD_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9625978666076084	0.9225026458023	Disorder_MDD_vs_Control
astrocyte	Astro	0.9735386518468852	0.965587196762421	Disorder_MDD_vs_Control
