ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
vascular.leptomeningeal.cell	VLMC	0.5510063940133291	0.3940718247914523	Disorder_ASD_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.9810420871290768	0.9490044934233468	Disorder_ASD_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.4662318983154716	0.2683937355052068	Disorder_ASD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.8305199147707507	0.6487490528823565	Disorder_ASD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.9350319754953914	0.8327033652614685	Disorder_ASD_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.9402753074922596	0.8147340858628768	Disorder_ASD_vs_Control
microglial.cell	Micro	0.886663521777442	0.837948438374705	Disorder_ASD_vs_Control
microglial.cell	Immune	0.255510622552686	0.2888718523322944	Disorder_ASD_vs_Control
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	0.8853722042863891	0.8006075223587925	Disorder_ASD_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.9103895353753264	0.7727931887206834	Disorder_ASD_vs_Control
oligodendrocyte	Oligo	0.9746828556413248	0.9548844600280452	Disorder_ASD_vs_Control
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	0.6988545489671637	0.3469839743221249	Disorder_ASD_vs_Control
oligodendrocyte.precursor.cell	OPC	0.978298603933028	0.962122810032674	Disorder_ASD_vs_Control
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	0.9877233861213488	0.9536817763172908	Disorder_ASD_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9876835630263796	0.9555113670474684	Disorder_ASD_vs_Control
endothelial.cell	Endo	0.7338901572769775	0.652806556642896	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.9266657072549184	0.8805665186930147	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.557569446227177	0.4571666545667572	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.8382282980540073	0.7621238293631015	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.7957899574482543	0.734251251479528	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6866587950746894	0.6135939448691542	Disorder_ASD_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.9832701428398256	0.9535872537811184	Disorder_ASD_vs_Control
L6b.glutamatergic.cortical.neuron	L6b	0.9549146401387816	0.8950578902607662	Disorder_ASD_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9868663686650454	0.9659918754306888	Disorder_ASD_vs_Control
astrocyte	Astro	0.9362958661326364	0.9107482550384394	Disorder_ASD_vs_Control
