ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.19751250925898148	0.06108158817660325
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.5139039158789103	0.27602507787278024
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.30090805923988473	0.07415673267927429
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.17780636846209882	0.0292517655712943
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.5448525433786507	0.27715354033264694
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	0.4806713618933135	0.19761888759285823
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8799130766747728	0.7819508907077454
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	0.361223314453701	0.060859470891754086
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.3016294367369184	0.13663344244079037
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.44717495695043896	0.14479867820954617
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.3558083940305766	0.14224368366260656
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.4682171654780362	0.20183608674876843
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.11908630781116197	0.008168886201008894
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.28442345867654295	0.06612839087699855
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.27903149040668246	0.14892700842646867
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.5063685533465141	0.2883847275484531
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.4234579071326131	0.13451020701013822
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.47699289548935797	0.24087245230716328
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.5065344815451952	0.26226646960952027
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	0.34912095329553144	0.04436645805542093
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.20370513490992329	0.02726068628412441
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.5484793925817453	0.3424572825076015
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.7326743863796545	0.5624022800287785
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.7775605921076001	0.6068152222349271
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.46175388883044316	0.2298341064303328
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.5357253334967572	0.30035304759854164
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6924583325939857	0.48007009293495534
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.18459240602961166	0.09148631287983464
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	0.39232579406215845	0.2524612898477074
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	0.21943702003365131	0.22851330955782578
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	0.13745018985387347	0.10824255675093948
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	0.4186559544103737	0.22399911294446556
chandelier.pvalb.GABAergic.cortical.interneuron	L5_ET	0.3179791017843694	0.22471765913374198
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.4372610694553769	0.13618057729704502
chandelier.pvalb.GABAergic.cortical.interneuron	Endo	0.24497023321964415	0.18479068294519893
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	0.24751232810975599	0.12568194042127798
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9722438788051853	0.9217157770175742
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	0.30023543595451746	0.17043353353833318
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.3829445908080422	0.28408160253065196
chandelier.pvalb.GABAergic.cortical.interneuron	Immune	0.1014136536185154	0.06695683319010691
chandelier.pvalb.GABAergic.cortical.interneuron	PC	0.19716374319173416	0.16194551861106654
chandelier.pvalb.GABAergic.cortical.interneuron	Oligo	0.23703018561046948	0.10820263851934624
chandelier.pvalb.GABAergic.cortical.interneuron	L6_CT	0.3250485103437575	0.22202723969764035
chandelier.pvalb.GABAergic.cortical.interneuron	Sncg	0.31891970985442913	0.26745541002994366
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	0.28598269105262797	0.19046139560389494
chandelier.pvalb.GABAergic.cortical.interneuron	L5.6_NP	0.3928673698264094	0.22316468175173879
chandelier.pvalb.GABAergic.cortical.interneuron	SMC	0.22743583107471826	0.08315165330382387
chandelier.pvalb.GABAergic.cortical.interneuron	Sst_Chodl	0.15571063777299654	0.10856211515552215
chandelier.pvalb.GABAergic.cortical.interneuron	Pvalb	0.43688908522634134	0.23687281170600633
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT	0.4041545276024714	0.1613812782817481
chandelier.pvalb.GABAergic.cortical.interneuron	L5_IT	0.42548528382239736	0.16916287969575775
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5	0.3675822900859748	0.2568820767858264
chandelier.pvalb.GABAergic.cortical.interneuron	L6b	0.3885214130090316	0.18317415552451516
chandelier.pvalb.GABAergic.cortical.interneuron	L4_IT	0.3952686617410916	0.1878943779186226
lamp5.GABAergic.cortical.interneuron	Micro	0.15298727290100272	0.12149790217877708
lamp5.GABAergic.cortical.interneuron	Sst	0.4472857063657936	0.409384013837599
lamp5.GABAergic.cortical.interneuron	Pax6	0.2955689582523651	0.1995624808786627
lamp5.GABAergic.cortical.interneuron	VLMC	0.15684900152751688	0.07868315951256549
lamp5.GABAergic.cortical.interneuron	Vip	0.4843559702456198	0.3905976660873428
lamp5.GABAergic.cortical.interneuron	L5_ET	0.34667572556737575	0.24749594994294188
lamp5.GABAergic.cortical.interneuron	L2.3_IT	0.4634065521180494	0.26577545038442163
lamp5.GABAergic.cortical.interneuron	Endo	0.33081982443726904	0.20899383394649929
lamp5.GABAergic.cortical.interneuron	Astro	0.26375858608275443	0.2264065414199016
lamp5.GABAergic.cortical.interneuron	Chandelier	0.3806653362179989	0.26239864498735105
lamp5.GABAergic.cortical.interneuron	OPC	0.3114475473242481	0.2482708551888326
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.713181195432279	0.555772572412128
lamp5.GABAergic.cortical.interneuron	Immune	0.10033190335592794	0.066052077898602
lamp5.GABAergic.cortical.interneuron	PC	0.25107903674315213	0.16403775273500773
lamp5.GABAergic.cortical.interneuron	Oligo	0.2522331466106029	0.21721063030067855
lamp5.GABAergic.cortical.interneuron	L6_CT	0.3952256130433778	0.33470006861117824
lamp5.GABAergic.cortical.interneuron	Sncg	0.41571423824336057	0.2957603543208894
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	0.3243399280322602	0.26495638883608646
lamp5.GABAergic.cortical.interneuron	L5.6_NP	0.40829990901663454	0.3088601064311421
lamp5.GABAergic.cortical.interneuron	SMC	0.2953326614506036	0.1049500388168941
lamp5.GABAergic.cortical.interneuron	Sst_Chodl	0.16595912093976123	0.0759523683267971
lamp5.GABAergic.cortical.interneuron	Pvalb	0.4912868320603208	0.4044706619214226
lamp5.GABAergic.cortical.interneuron	L6_IT	0.4471698803798658	0.32252997251413695
lamp5.GABAergic.cortical.interneuron	L5_IT	0.4854650927765285	0.33615035145169286
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8125560580468828	0.7344969396015162
lamp5.GABAergic.cortical.interneuron	L6b	0.42646062160216475	0.3111770623348681
lamp5.GABAergic.cortical.interneuron	L4_IT	0.4360708180420137	0.34390387446000115
sst.GABAergic.cortical.interneuron	Micro	0.13822054725958338	0.11852570051755124
sst.GABAergic.cortical.interneuron	Sst	0.924478689558435	0.8894278179986606
sst.GABAergic.cortical.interneuron	Pax6	0.31160184876076547	0.19916736489656792
sst.GABAergic.cortical.interneuron	VLMC	0.18492422705855033	0.06744484271149294
sst.GABAergic.cortical.interneuron	Vip	0.5259717361399457	0.41932091606266114
sst.GABAergic.cortical.interneuron	L5_ET	0.3934551168485208	0.27677581910769655
sst.GABAergic.cortical.interneuron	L2.3_IT	0.5156503074804271	0.2972081095181549
sst.GABAergic.cortical.interneuron	Endo	0.34532993339072515	0.19602106495516436
sst.GABAergic.cortical.interneuron	Astro	0.2639268700155269	0.22502211271888153
sst.GABAergic.cortical.interneuron	Chandelier	0.39597084108828706	0.25807258790059057
sst.GABAergic.cortical.interneuron	OPC	0.2934751314133938	0.2538105288576817
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.41957788544336144	0.33473964291555536
sst.GABAergic.cortical.interneuron	Immune	0.0806500716185032	0.0484506180256112
sst.GABAergic.cortical.interneuron	PC	0.24776963986089606	0.1473749304985064
sst.GABAergic.cortical.interneuron	Oligo	0.23282318575973213	0.21841645007047322
sst.GABAergic.cortical.interneuron	L6_CT	0.45159518363548673	0.37290161135104427
sst.GABAergic.cortical.interneuron	Sncg	0.41810839019545143	0.297491140467015
sst.GABAergic.cortical.interneuron	L6_IT_Car3	0.3842647847385719	0.2988920804983257
sst.GABAergic.cortical.interneuron	L5.6_NP	0.42834521574041606	0.34246341362036614
sst.GABAergic.cortical.interneuron	SMC	0.33669436945082637	0.09953349007022952
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.2749532735623239	0.09734499362979017
sst.GABAergic.cortical.interneuron	Pvalb	0.5350532996406283	0.4491663230567755
