gemma_cell_type	gemma_abbr
astrocyte	astrocyte
caudal ganglionic eminence derived GABAergic cortical interneuron	caudal ganglionic ED GABA CI
chandelier pvalb GABAergic cortical interneuron	chandelier pvalb GABA CI
endothelial cell	endothelial cell
L2/3-6 intratelencephalic projecting glutamatergic neuron	L2/3-6 IT proj. glutamatergic neuron
L5 extratelencephalic projecting glutamatergic cortical neuron	L5 ET proj.glutamatergic CN
L6 corticothalamic-projecting glutamatergic cortical neuron	L6 CT-proj. glutamatergic CN
L6b glutamatergic cortical neuron	L6b glutamatergic CN
lamp5 GABAergic cortical interneuron	lamp5 GABA CI
microglial cell	microglial cell
near-projecting glutamatergic cortical neuron	near-proj. glutamatergic CN
oligodendrocyte	oligodendrocyte
oligodendrocyte precursor cell	oligodendrocyte PC
pvalb GABAergic cortical interneuron	pvalb GABA CI
sncg GABAergic cortical interneuron	sncg GABA CI
sst GABAergic cortical interneuron	sst GABA CI
vascular leptomeningeal cell	vascular leptomeningeal cell
vip GABAergic cortical interneuron	vip GABA CI
