ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.738920520481979	0.49244759774681757
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.937419352126951	0.7856734244845941
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.9012206749473247	0.5632212705828514
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.7252534642461996	0.2088913336058227
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.9332104412352951	0.8131611401355504
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	0.96904020046487	0.6865824632973471
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.9967959192349489	0.9652372974323635
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	0.7604081193509938	0.4546157170868753
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.7923919161191864	0.6767466666069953
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.8866810452991194	0.5988383304903052
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.8432244459142288	0.6976887609590908
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.9075306302349971	0.6962846960853976
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.6618202082869419	0.2105593630559988
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.7083693111024633	0.43453595422204294
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.8051632294811514	0.6321936866862057
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.9639393100885558	0.7987936799399098
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.9096585282831307	0.6865103020295845
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.967231664778142	0.7892763466739734
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.9406011118797403	0.7777151559726244
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	0.7438314521485667	0.23496929021016727
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.8362595803453848	0.32396395567792835
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.9343490569084785	0.8291536703641909
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.9928239416304737	0.9116339012937662
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.990187928400153	0.9164435107474551
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.9189883270522711	0.7628083564941756
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.9631699973363376	0.8361611464841324
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.9858769149636716	0.8911386804383025
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.7209006697865535	0.5718932504522793
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	0.933263363251435	0.8175256027890814
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	0.9147999901077011	0.8360228013191257
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	0.7277459305737213	0.3611038458101217
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	0.9262685448682788	0.8043505870257639
chandelier.pvalb.GABAergic.cortical.interneuron	L5_ET	0.8878419259240165	0.8142757785646133
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.8782485059172559	0.661850120400023
chandelier.pvalb.GABAergic.cortical.interneuron	Endo	0.7458734624110638	0.6017305469776785
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	0.7533443643094946	0.6257903438022714
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9994045155945323	0.9971870497699215
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	0.8333234053035358	0.7177955850749063
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.9268844963528686	0.8494598312703132
chandelier.pvalb.GABAergic.cortical.interneuron	Immune	0.6671597345851453	0.32971991907626885
chandelier.pvalb.GABAergic.cortical.interneuron	PC	0.710211212959725	0.5940955804738441
chandelier.pvalb.GABAergic.cortical.interneuron	Oligo	0.7544612444822705	0.5813172748800326
chandelier.pvalb.GABAergic.cortical.interneuron	L6_CT	0.8784390413066843	0.7877533016847521
chandelier.pvalb.GABAergic.cortical.interneuron	Sncg	0.9151657270326921	0.8475125288000132
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	0.8763800729368658	0.7906190259976901
chandelier.pvalb.GABAergic.cortical.interneuron	L5.6_NP	0.8925100740285737	0.8012998896260992
chandelier.pvalb.GABAergic.cortical.interneuron	SMC	0.7252597289101145	0.4493272078223427
chandelier.pvalb.GABAergic.cortical.interneuron	Sst_Chodl	0.8413459349788729	0.5785794355513771
chandelier.pvalb.GABAergic.cortical.interneuron	Pvalb	0.9568230308958176	0.8195343815310911
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT	0.8870485724630283	0.7539555221946059
chandelier.pvalb.GABAergic.cortical.interneuron	L5_IT	0.8895604004577059	0.7390958988575582
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5	0.9255573901928301	0.8208188679407543
chandelier.pvalb.GABAergic.cortical.interneuron	L6b	0.8788952144080361	0.7803955867552067
chandelier.pvalb.GABAergic.cortical.interneuron	L4_IT	0.8831344880780452	0.7532194186785591
lamp5.GABAergic.cortical.interneuron	Micro	0.7537138745869487	0.5947989836529696
lamp5.GABAergic.cortical.interneuron	Sst	0.956212045972463	0.9193772272249433
lamp5.GABAergic.cortical.interneuron	Pax6	0.9548950730823355	0.8021935946070144
lamp5.GABAergic.cortical.interneuron	VLMC	0.7394417741606872	0.3613883107961645
lamp5.GABAergic.cortical.interneuron	Vip	0.958381580799776	0.9283684433590952
lamp5.GABAergic.cortical.interneuron	L5_ET	0.9074704354141453	0.7935644083953032
lamp5.GABAergic.cortical.interneuron	L2.3_IT	0.915996417632953	0.8234500292420925
lamp5.GABAergic.cortical.interneuron	Endo	0.7645341557509505	0.5994366228419739
lamp5.GABAergic.cortical.interneuron	Astro	0.8114688239731412	0.7447104654580964
lamp5.GABAergic.cortical.interneuron	Chandelier	0.9283832592976639	0.8058360379514802
lamp5.GABAergic.cortical.interneuron	OPC	0.8745180394762124	0.8192187991750892
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.9872931460089885	0.9094639794213487
lamp5.GABAergic.cortical.interneuron	Immune	0.6729491899130021	0.33920157291676356
lamp5.GABAergic.cortical.interneuron	PC	0.7241372026684756	0.5942750583016051
lamp5.GABAergic.cortical.interneuron	Oligo	0.8145980221469142	0.7066507426010025
lamp5.GABAergic.cortical.interneuron	L6_CT	0.9122408844707596	0.8619492500851753
lamp5.GABAergic.cortical.interneuron	Sncg	0.9578208203036049	0.8710499102763047
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	0.9079459074985623	0.8505175536106926
lamp5.GABAergic.cortical.interneuron	L5.6_NP	0.9122946820519129	0.8617800921103936
lamp5.GABAergic.cortical.interneuron	SMC	0.7412883573949918	0.4275735424083255
lamp5.GABAergic.cortical.interneuron	Sst_Chodl	0.8582161649993874	0.5692692138455591
lamp5.GABAergic.cortical.interneuron	Pvalb	0.9536814103422463	0.9166535165924852
lamp5.GABAergic.cortical.interneuron	L6_IT	0.9235222219440122	0.8716785990757216
lamp5.GABAergic.cortical.interneuron	L5_IT	0.9239315149637504	0.8605772784133696
lamp5.GABAergic.cortical.interneuron	Lamp5	0.9950023358889964	0.9681943145578118
lamp5.GABAergic.cortical.interneuron	L6b	0.9193328279192887	0.884597332130204
lamp5.GABAergic.cortical.interneuron	L4_IT	0.9156385595876932	0.8695803232294843
sst.GABAergic.cortical.interneuron	Micro	0.7586916921480742	0.5922464901839226
sst.GABAergic.cortical.interneuron	Sst	0.9994171193447434	0.9923774909122948
sst.GABAergic.cortical.interneuron	Pax6	0.9441854384079488	0.7927889607339162
sst.GABAergic.cortical.interneuron	VLMC	0.7439144681255129	0.3605394690569167
