ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.9361379691417946	0.9066043494128696	Disorder_PTSD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.6031918991667595	0.4499119467107482	Disorder_PTSD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.8092776963218183	0.7515123522737819	Disorder_PTSD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.827899062894779	0.7882330178778191	Disorder_PTSD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.725700277717758	0.6792512358419789	Disorder_PTSD_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9832447333621628	0.9617868688471656	Disorder_PTSD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.8143468384135867	0.6799867031599225	Disorder_PTSD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8908668190373346	0.8278984073169896	Disorder_PTSD_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.976170217899654	0.9395636933700138	Disorder_PTSD_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.4164771925124884	0.1568847775488195	Disorder_PTSD_vs_Control
microglial.cell	Micro	0.9579548048361608	0.8617604056924925	Disorder_PTSD_vs_Control
microglial.cell	Immune	-0.192665302165284	-0.0127125095222818	Disorder_PTSD_vs_Control
oligodendrocyte	Oligo	0.9741974695324876	0.956519839997268	Disorder_PTSD_vs_Control
astrocyte	Astro	0.9859903461165156	0.9736745822492318	Disorder_PTSD_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9858465784154924	0.976684405352222	Disorder_PTSD_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.9153012056723774	0.8269883514117803	Disorder_PTSD_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.9877121511960107	0.979362874749171	Disorder_PTSD_vs_Control
deep.layer.non.IT	L5_ET	0.636071704007364	0.4654678196037492	Disorder_PTSD_vs_Control
deep.layer.non.IT	L6_CT	0.6969336639726247	0.5582785041415725	Disorder_PTSD_vs_Control
deep.layer.non.IT	L5.6_NP	0.7050807839359186	0.5638940970100534	Disorder_PTSD_vs_Control
deep.layer.non.IT	L6b	0.6985733484158856	0.5295290352499962	Disorder_PTSD_vs_Control
oligodendrocyte.precursor.cell	OPC	0.9847453807232528	0.96227174289095	Disorder_PTSD_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.8526617901709517	0.8088119660986396	Disorder_PTSD_vs_Control
vascular	VLMC	0.1861593685373934	0.1400811826863511	Disorder_PTSD_vs_Control
vascular	Endo	0.6704552207166892	0.4357027903622297	Disorder_PTSD_vs_Control
vascular	PC	0.8608786677963305	0.631727336435125	Disorder_PTSD_vs_Control
vascular	SMC	0.4703947148154733	0.2167770640078623	Disorder_PTSD_vs_Control
