ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.11475456117368424	0.007155978533302236
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.3850184722380135	0.12261214276560518
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.35569995970785995	0.09053360477027252
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.21543581231752645	-0.03806610525678496
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.4358406165577443	0.17475278521735385
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	0.3769176755159785	0.058110960215198945
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8438903792643255	0.6846622726097423
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	0.28308560826129764	-0.015712833390937757
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.2727372266251579	0.036919173718465544
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.36791912773635693	0.10296202671450573
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.25955683905879545	0.040116867527625354
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.38150611039696697	0.11193688156201922
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.19882925030282772	-0.026738313426216114
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.1387785311187829	-0.018533942255337083
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.22816489338116494	0.027314919696853623
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.3759863194484714	0.09386437782334218
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.408211799822861	0.1365230005340725
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.4435411695879131	0.11735468862265046
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.4342157930835179	0.14785984391125845
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	0.2625245032876897	-0.00013998410308961443
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.09111619102658651	-0.007970569321118715
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.47793967991729774	0.23257142287745813
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.7290321003005534	0.5040906625048605
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.7026008994646782	0.45561317133233403
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.40471174985954855	0.15391257520988366
