ct_sc_pipeline	ct_author	percent_overlap
microglial.cell	L4_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Micro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Sst	
corticothalamic.projecting.glutamatergic.cortical.neuron	Pax6	
corticothalamic.projecting.glutamatergic.cortical.neuron	VLMC	
corticothalamic.projecting.glutamatergic.cortical.neuron	Vip	
corticothalamic.projecting.glutamatergic.cortical.neuron	L5_ET	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L2.3_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Endo	
corticothalamic.projecting.glutamatergic.cortical.neuron	Astro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Chandelier	
corticothalamic.projecting.glutamatergic.cortical.neuron	OPC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Lamp5_Lhx6	
corticothalamic.projecting.glutamatergic.cortical.neuron	Immune	
corticothalamic.projecting.glutamatergic.cortical.neuron	PC	
corticothalamic.projecting.glutamatergic.cortical.neuron	Oligo	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	
corticothalamic.projecting.glutamatergic.cortical.neuron	Sncg	
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_IT_Car3	
corticothalamic.projecting.glutamatergic.cortical.neuron	L5.6_NP	
corticothalamic.projecting.glutamatergic.cortical.neuron	SMC	
corticothalamic.projecting.glutamatergic.cortical.neuron	Sst_Chodl	
corticothalamic.projecting.glutamatergic.cortical.neuron	Pvalb	
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_IT	
corticothalamic.projecting.glutamatergic.cortical.neuron	L5_IT	
corticothalamic.projecting.glutamatergic.cortical.neuron	Lamp5	
corticothalamic.projecting.glutamatergic.cortical.neuron	L6b	
corticothalamic.projecting.glutamatergic.cortical.neuron	L4_IT	
PAX6.GABAergic.cortical.interneuron	Micro	0.0
PAX6.GABAergic.cortical.interneuron	Sst	
PAX6.GABAergic.cortical.interneuron	Pax6	
PAX6.GABAergic.cortical.interneuron	VLMC	
PAX6.GABAergic.cortical.interneuron	Vip	
PAX6.GABAergic.cortical.interneuron	L5_ET	0.0
PAX6.GABAergic.cortical.interneuron	L2.3_IT	0.0
PAX6.GABAergic.cortical.interneuron	Endo	
PAX6.GABAergic.cortical.interneuron	Astro	0.0
PAX6.GABAergic.cortical.interneuron	Chandelier	
PAX6.GABAergic.cortical.interneuron	OPC	0.0
PAX6.GABAergic.cortical.interneuron	Lamp5_Lhx6	
PAX6.GABAergic.cortical.interneuron	Immune	
PAX6.GABAergic.cortical.interneuron	PC	
PAX6.GABAergic.cortical.interneuron	Oligo	0.0
PAX6.GABAergic.cortical.interneuron	L6_CT	
PAX6.GABAergic.cortical.interneuron	Sncg	
PAX6.GABAergic.cortical.interneuron	L6_IT_Car3	
PAX6.GABAergic.cortical.interneuron	L5.6_NP	
PAX6.GABAergic.cortical.interneuron	SMC	
PAX6.GABAergic.cortical.interneuron	Sst_Chodl	
PAX6.GABAergic.cortical.interneuron	Pvalb	
PAX6.GABAergic.cortical.interneuron	L6_IT	
PAX6.GABAergic.cortical.interneuron	L5_IT	
PAX6.GABAergic.cortical.interneuron	Lamp5	
PAX6.GABAergic.cortical.interneuron	L6b	
PAX6.GABAergic.cortical.interneuron	L4_IT	
oligodendrocyte	Micro	0.0
oligodendrocyte	Sst	0.0
oligodendrocyte	Pax6	0.0
oligodendrocyte	VLMC	0.0
oligodendrocyte	Vip	0.0
oligodendrocyte	L5_ET	0.0
oligodendrocyte	L2.3_IT	0.0
oligodendrocyte	Endo	0.0
oligodendrocyte	Astro	0.0
oligodendrocyte	Chandelier	0.0
oligodendrocyte	OPC	0.0
oligodendrocyte	Lamp5_Lhx6	0.0
oligodendrocyte	Immune	0.0
oligodendrocyte	PC	0.0
oligodendrocyte	Oligo	100.0
oligodendrocyte	L6_CT	0.0
oligodendrocyte	Sncg	0.0
oligodendrocyte	L6_IT_Car3	0.0
oligodendrocyte	L5.6_NP	0.0
oligodendrocyte	SMC	0.0
oligodendrocyte	Sst_Chodl	
oligodendrocyte	Pvalb	0.0
oligodendrocyte	L6_IT	0.0
oligodendrocyte	L5_IT	0.0
oligodendrocyte	Lamp5	0.0
oligodendrocyte	L6b	0.0
oligodendrocyte	L4_IT	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Micro	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Sst	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Pax6	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	VLMC	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Vip	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	0.0
