ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
vascular.leptomeningeal.cell	VLMC	0.5381835425262425	0.3933671791876114	Disorder_Schizophrenia_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.924478689558435	0.8894278179986606	Disorder_Schizophrenia_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.2749532735623239	0.0973449936297901	Disorder_Schizophrenia_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.713181195432279	0.555772572412128	Disorder_Schizophrenia_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8125560580468828	0.7344969396015162	Disorder_Schizophrenia_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.8416888713232829	0.7333417846469735	Disorder_Schizophrenia_vs_Control
microglial.cell	Micro	0.8806077546881247	0.6987350201062001	Disorder_Schizophrenia_vs_Control
microglial.cell	Immune	0.6435513237808792	0.3458345786056898	Disorder_Schizophrenia_vs_Control
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	0.841463982981531	0.7613825628524454	Disorder_Schizophrenia_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.8013030759009392	0.6972471030701952	Disorder_Schizophrenia_vs_Control
oligodendrocyte	Oligo	0.9155840423428132	0.9216428308262288	Disorder_Schizophrenia_vs_Control
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	0.726448018724015	0.5835882690888474	Disorder_Schizophrenia_vs_Control
oligodendrocyte.precursor.cell	OPC	0.9691377752057868	0.9592761186846964	Disorder_Schizophrenia_vs_Control
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	0.9710462284695665	0.947829505128878	Disorder_Schizophrenia_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9722438788051851	0.9217157770175742	Disorder_Schizophrenia_vs_Control
endothelial.cell	Endo	0.8920092046709353	0.8217919408103728	Disorder_Schizophrenia_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8799130766747728	0.7819508907077454	Disorder_Schizophrenia_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.4769928954893579	0.2408724523071632	Disorder_Schizophrenia_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.7326743863796545	0.5624022800287785	Disorder_Schizophrenia_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.7775605921076001	0.6068152222349271	Disorder_Schizophrenia_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6924583325939857	0.4800700929349553	Disorder_Schizophrenia_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.969857708032958	0.9442960133659816	Disorder_Schizophrenia_vs_Control
L6b.glutamatergic.cortical.neuron	L6b	0.917156189287621	0.8337135375680517	Disorder_Schizophrenia_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9689722111827962	0.9517042845582716	Disorder_Schizophrenia_vs_Control
astrocyte	Astro	0.9130380910123084	0.9159712542207646	Disorder_Schizophrenia_vs_Control
