ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
vascular.leptomeningeal.cell	VLMC	0.5491843353529073	0.3260410193845721	Biological_Sex_male_vs_female
sst.GABAergic.cortical.interneuron	Sst	0.9008658444636766	0.8298805472910271	Biological_Sex_male_vs_female
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.2556515794409383	0.0059674624785618	Biological_Sex_male_vs_female
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.6589012933822581	0.383736218973725	Biological_Sex_male_vs_female
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8102933537037271	0.6107456934976335	Biological_Sex_male_vs_female
sncg.GABAergic.cortical.interneuron	Sncg	0.8508344097505766	0.5715331178313104	Biological_Sex_male_vs_female
microglial.cell	Micro	0.7834944786381307	0.6982097859863051	Biological_Sex_male_vs_female
microglial.cell	Immune	0.3826425233217921	0.2664968959416325	Biological_Sex_male_vs_female
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	0.5158444719524832	0.3920205031009131	Biological_Sex_male_vs_female
PAX6.GABAergic.cortical.interneuron	Pax6	0.790253873299194	0.6244231809252075	Biological_Sex_male_vs_female
oligodendrocyte	Oligo	0.813194342643234	0.8571273224074079	Biological_Sex_male_vs_female
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	0.2198663472368973	0.110647127325221	Biological_Sex_male_vs_female
oligodendrocyte.precursor.cell	OPC	0.960053107954226	0.948693476421682	Biological_Sex_male_vs_female
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	0.9214522182063316	0.8574478538192636	Biological_Sex_male_vs_female
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.85649375982221	0.8268923268767376	Biological_Sex_male_vs_female
endothelial.cell	Endo	0.6262106237842255	0.5801069108731762	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8361505198438343	0.7268363938477777	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.3368962996403628	0.0922674613746808	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.409228183015334	0.3026237833544958	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.676670041183158	0.471903847572561	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6092401547357661	0.369281373429206	Biological_Sex_male_vs_female
vip.GABAergic.cortical.interneuron	Vip	0.951194929387837	0.8924806026685745	Biological_Sex_male_vs_female
L6b.glutamatergic.cortical.neuron	L6b	0.6149523941951204	0.5691656931834456	Biological_Sex_male_vs_female
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9089912538207544	0.8846567027729705	Biological_Sex_male_vs_female
astrocyte	Astro	0.9768169381237553	0.93433284587028	Biological_Sex_male_vs_female
