ct_sc_pipeline	ct_author	percent_overlap
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	56.94091204826403
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	82.92048410813257
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	67.83607181374104
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	22.00224655995507
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	82.02618035354665
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	58.9170451828831
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	89.96816145917651
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	51.35687732342007
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	75.29233190915224
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	70.24658905995744
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	70.83357336252088
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	66.89475596463606
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	19.91855890675685
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	56.17593003358895
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	72.16297048699283
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	73.85916145471393
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	65.38112247986922
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	67.62199392948868
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	66.46783625730994
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	24.40160058202983
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	32.22145008107482
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	79.47374352039667
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	80.57789362764129
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	81.95914875414394
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	73.66884633348903
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	72.86400549010636
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	81.16918996574208
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	63.128624771589735
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	67.87813281091671
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	74.72705216336433
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	27.460452780145875
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	68.82659624889972
chandelier.pvalb.GABAergic.cortical.interneuron	L5_ET	72.60058067192037
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	69.82074263764405
chandelier.pvalb.GABAergic.cortical.interneuron	Endo	60.492999077722814
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	67.5641653262466
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	95.89594867738818
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	69.08480513793607
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	75.35205664730687
chandelier.pvalb.GABAergic.cortical.interneuron	Immune	24.9788394620521
chandelier.pvalb.GABAergic.cortical.interneuron	PC	62.43894362116069
chandelier.pvalb.GABAergic.cortical.interneuron	Oligo	66.53835186769318
chandelier.pvalb.GABAergic.cortical.interneuron	L6_CT	70.84425036390103
chandelier.pvalb.GABAergic.cortical.interneuron	Sncg	75.9889976539115
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	71.69710399633223
chandelier.pvalb.GABAergic.cortical.interneuron	L5.6_NP	71.91427029527408
chandelier.pvalb.GABAergic.cortical.interneuron	SMC	30.197780993728895
chandelier.pvalb.GABAergic.cortical.interneuron	Sst_Chodl	40.03358356380877
chandelier.pvalb.GABAergic.cortical.interneuron	Pvalb	71.03414701995966
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT	71.90573770491804
chandelier.pvalb.GABAergic.cortical.interneuron	L5_IT	71.63809268684705
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5	70.64413172783983
chandelier.pvalb.GABAergic.cortical.interneuron	L6b	70.31543915497033
chandelier.pvalb.GABAergic.cortical.interneuron	L4_IT	70.67458691792982
lamp5.GABAergic.cortical.interneuron	Micro	61.473549851084954
lamp5.GABAergic.cortical.interneuron	Sst	79.42155106219606
lamp5.GABAergic.cortical.interneuron	Pax6	67.39222915484969
lamp5.GABAergic.cortical.interneuron	VLMC	24.62176671547096
lamp5.GABAergic.cortical.interneuron	Vip	81.44682498709345
lamp5.GABAergic.cortical.interneuron	L5_ET	67.49524784325193
lamp5.GABAergic.cortical.interneuron	L2.3_IT	76.96350713731111
lamp5.GABAergic.cortical.interneuron	Endo	58.06692560501942
lamp5.GABAergic.cortical.interneuron	Astro	75.7169166008945
lamp5.GABAergic.cortical.interneuron	Chandelier	69.78114478114477
lamp5.GABAergic.cortical.interneuron	OPC	77.67186195379905
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	76.37766615709398
lamp5.GABAergic.cortical.interneuron	Immune	22.10314262691378
lamp5.GABAergic.cortical.interneuron	PC	61.279009029176926
lamp5.GABAergic.cortical.interneuron	Oligo	73.66495976591075
lamp5.GABAergic.cortical.interneuron	L6_CT	78.49113854216951
lamp5.GABAergic.cortical.interneuron	Sncg	73.61353077816493
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	76.74618525682355
lamp5.GABAergic.cortical.interneuron	L5.6_NP	78.07572124118887
lamp5.GABAergic.cortical.interneuron	SMC	26.956521739130434
lamp5.GABAergic.cortical.interneuron	Sst_Chodl	34.71619365609349
lamp5.GABAergic.cortical.interneuron	Pvalb	82.05621105660877
lamp5.GABAergic.cortical.interneuron	L6_IT	80.02850294746389
lamp5.GABAergic.cortical.interneuron	L5_IT	76.54260528893242
lamp5.GABAergic.cortical.interneuron	Lamp5	89.09516152609268
lamp5.GABAergic.cortical.interneuron	L6b	82.38068421793608
lamp5.GABAergic.cortical.interneuron	L4_IT	78.91616193815747
sst.GABAergic.cortical.interneuron	Micro	58.64903972638779
sst.GABAergic.cortical.interneuron	Sst	94.70668663324435
sst.GABAergic.cortical.interneuron	Pax6	65.85780315388799
sst.GABAergic.cortical.interneuron	VLMC	23.76695679447973
sst.GABAergic.cortical.interneuron	Vip	83.74638706106636
sst.GABAergic.cortical.interneuron	L5_ET	63.27260458839406
sst.GABAergic.cortical.interneuron	L2.3_IT	80.55905602016267
sst.GABAergic.cortical.interneuron	Endo	54.94835287548855
sst.GABAergic.cortical.interneuron	Astro	74.55192732629511
sst.GABAergic.cortical.interneuron	Chandelier	68.26768488745981
sst.GABAergic.cortical.interneuron	OPC	74.31816723352371
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	71.5336843526394
sst.GABAergic.cortical.interneuron	Immune	21.541318477251625
sst.GABAergic.cortical.interneuron	PC	58.671171171171174
sst.GABAergic.cortical.interneuron	Oligo	73.06089444548113
sst.GABAergic.cortical.interneuron	L6_CT	77.06670100437806
sst.GABAergic.cortical.interneuron	Sncg	68.81554181231513
sst.GABAergic.cortical.interneuron	L6_IT_Car3	72.46233800407867
sst.GABAergic.cortical.interneuron	L5.6_NP	72.72546550924392
sst.GABAergic.cortical.interneuron	SMC	26.17519653457404
sst.GABAergic.cortical.interneuron	Sst_Chodl	34.36083408884859
sst.GABAergic.cortical.interneuron	Pvalb	81.11021621956509
sst.GABAergic.cortical.interneuron	L6_IT	76.83065335644689
sst.GABAergic.cortical.interneuron	L5_IT	77.13857505187917
sst.GABAergic.cortical.interneuron	Lamp5	79.09316607866197
sst.GABAergic.cortical.interneuron	L6b	77.44587910323119
sst.GABAergic.cortical.interneuron	L4_IT	78.83487007544007
microglial.cell	Micro	90.57079467527228
microglial.cell	Sst	56.441882289851186
microglial.cell	Pax6	60.62422997946612
microglial.cell	VLMC	31.349162928110296
microglial.cell	Vip	57.56150020164001
microglial.cell	L5_ET	61.76899957063117
microglial.cell	L2.3_IT	54.70396155504898
microglial.cell	Endo	66.4471172203131
microglial.cell	Astro	60.81971911722557
microglial.cell	Chandelier	60.65534561109782
microglial.cell	OPC	62.72333307990573
microglial.cell	Lamp5_Lhx6	63.24368378158109
microglial.cell	Immune	31.08700416392724
microglial.cell	PC	67.70134228187919
microglial.cell	Oligo	61.52424600827913
microglial.cell	L6_CT	59.64912280701754
microglial.cell	Sncg	63.4045713342685
microglial.cell	L6_IT_Car3	62.47336437534528
microglial.cell	L5.6_NP	62.596698301299945
microglial.cell	SMC	33.707617789520036
microglial.cell	Sst_Chodl	39.40809968847352
microglial.cell	Pvalb	58.13392179849666
microglial.cell	L6_IT	57.779567727211706
microglial.cell	L5_IT	56.471120884806936
