ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
vascular.leptomeningeal.cell	Micro	0.22183340397061274	0.18399439682586263
vascular.leptomeningeal.cell	Sst	0.3018013955792898	0.11224238058180465
vascular.leptomeningeal.cell	Pax6	0.1446106967204946	0.11679846901814124
vascular.leptomeningeal.cell	VLMC	0.3492403152999825	0.26147476338720205
vascular.leptomeningeal.cell	Vip	0.288763808266153	0.09500186015276588
vascular.leptomeningeal.cell	L5_ET	0.3093100706113766	0.146047469490338
vascular.leptomeningeal.cell	L2.3_IT	0.24983406884955162	0.1032599811285376
vascular.leptomeningeal.cell	Endo	0.47770145317471907	0.2695396855897454
vascular.leptomeningeal.cell	Astro	0.11927215451190032	0.12793612540560254
vascular.leptomeningeal.cell	Chandelier	0.23497652388088494	0.13950985029139368
vascular.leptomeningeal.cell	OPC	0.2558256121021647	0.14480724403008854
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.27074398358294005	0.1178239162722753
vascular.leptomeningeal.cell	Immune	0.1148414105440629	0.16634101393850242
vascular.leptomeningeal.cell	PC	0.7439230329523858	0.5394776444323232
vascular.leptomeningeal.cell	Oligo	0.23719418965291333	0.07365683798269422
vascular.leptomeningeal.cell	L6_CT	0.2947243973583022	0.13518444851966452
vascular.leptomeningeal.cell	Sncg	0.025943705365823973	0.1107569711119235
vascular.leptomeningeal.cell	L6_IT_Car3	0.2800510984350653	0.11281237248825265
vascular.leptomeningeal.cell	L5.6_NP	0.353763401660096	0.16482804631337913
vascular.leptomeningeal.cell	SMC	0.4098744489445338	0.28348103847248174
vascular.leptomeningeal.cell	Sst_Chodl	0.09180232685225857	0.08970895418186248
vascular.leptomeningeal.cell	Pvalb	0.2507817883035978	0.08120960883370988
vascular.leptomeningeal.cell	L6_IT	0.2777998813924891	0.12100595458692782
vascular.leptomeningeal.cell	L5_IT	0.29969949928053313	0.14958714168213463
vascular.leptomeningeal.cell	Lamp5	0.27319229933467765	0.12571718879484256
vascular.leptomeningeal.cell	L6b	0.3327381827552766	0.1313778469318647
vascular.leptomeningeal.cell	L4_IT	0.2633912067775849	0.12233434271597857
sst.GABAergic.cortical.interneuron	Micro	0.22735659133653652	0.08558013245341346
sst.GABAergic.cortical.interneuron	Sst	0.9635471107703079	0.9035280745929181
