ct_sc_pipeline	average_percent_overlap	sd_percent_overlap	n_pairs
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	42.08862523565823	25.656512975938522	40
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	20.06268044460785	24.30758562933983	8
L6b.glutamatergic.cortical.neuron	63.27158582337043	27.22196777474648	8
PAX6.GABAergic.cortical.interneuron	47.17952176657307	32.17937691197288	7
astrocyte	81.20443847447207	9.13097910028183	8
chandelier.pvalb.GABAergic.cortical.interneuron	65.81771065433462	35.27712117144324	6
corticothalamic.projecting.glutamatergic.cortical.neuron	46.88719452000961	27.499266477245563	6
endothelial.cell	50.33188168576044	36.06463073680436	6
lamp5.GABAergic.cortical.interneuron	48.244848315147756	21.29624150620746	12
microglial.cell	31.799208709898828	29.45358335885395	16
near.projecting.glutamatergic.cortical.neuron	77.61667512312172	13.219871226637887	7
oligodendrocyte	89.8980621563451	8.979090052511724	8
oligodendrocyte.precursor.cell	89.84830291253482	8.369822538454793	8
pvalb.GABAergic.cortical.interneuron	71.5653146693637	29.834451880561687	8
sncg.GABAergic.cortical.interneuron	58.42723738525365	19.942061828586507	7
sst.GABAergic.cortical.interneuron	43.703246969306115	38.910223123581744	12
vascular.leptomeningeal.cell	9.445644730742178	23.702290414463437	7
vip.GABAergic.cortical.interneuron	82.94143792161984	9.036177967591462	7
