ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.2433824233863891	0.10782131430116842
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.4297846318307958	0.25972664605221474
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.4028020177919573	0.14504698411285677
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.22376021355561568	0.06708873192113438
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.5082446066937067	0.30333030678834355
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	0.3834037831348252	0.09544976339450036
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8835431431634113	0.8002576810319049
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	0.35574235548668537	0.12469504956958134
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.3542763782944022	0.1678169428543244
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.35228783978936445	0.15379482798494545
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.34004095024477626	0.16069308760548542
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.3716469300169751	0.14492329195428477
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.046619879442177894	0.013344161601576776
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.33941925246330534	0.1306996079635087
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.2789875114821909	0.170300790053437
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.39339687080101793	0.2392468565496743
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.42718936335888186	0.20516442181544237
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.4161282827611209	0.24288871864294082
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.35560875230733363	0.1902286041418525
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	0.28780356526477185	0.11413312267043062
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.15573349839849918	0.010292695455002516
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.5180169049774757	0.3387581839242311
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.6902129514150641	0.5151870075473175
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.7277431481604684	0.5524385194403318
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.4240867516201896	0.22526032759494952
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.41935146395710565	0.294992494734307
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6321639001763792	0.4375171688091669
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.2837665912676148	0.1296014157018939
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	0.4053837915805589	0.2561039476929813
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	0.3271551268469507	0.268586264870849
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	0.18290403741716044	0.10979750999035862
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	0.3376451296181371	0.24428857495849643
