ct_sc_pipeline	ct_author	percent_overlap	contrast
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	77.22277722277722	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	46.99384787472036	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	67.04180064308682	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	71.2522287752023	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	54.83546486564161	Disorder_Bipolar.Disorder_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	85.06075768406004	Disorder_Bipolar.Disorder_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	50.275761973875184	Disorder_Bipolar.Disorder_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	68.77980364656382	Disorder_Bipolar.Disorder_vs_Control
sst.GABAergic.cortical.interneuron	Sst	82.77262180974478	Disorder_Bipolar.Disorder_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.0	Disorder_Bipolar.Disorder_vs_Control
microglial.cell	Micro	70.31332979288369	Disorder_Bipolar.Disorder_vs_Control
microglial.cell	Immune	0.0	Disorder_Bipolar.Disorder_vs_Control
oligodendrocyte	Oligo	93.24046585978536	Disorder_Bipolar.Disorder_vs_Control
astrocyte	Astro	90.9902130109384	Disorder_Bipolar.Disorder_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	90.70953436807096	Disorder_Bipolar.Disorder_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	65.33127889060093	Disorder_Bipolar.Disorder_vs_Control
vip.GABAergic.cortical.interneuron	Vip	89.14457228614307	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L5_ET	19.26605504587156	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L6_CT	53.245007680491554	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L5.6_NP	43.28329484218629	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L6b	64.51086956521739	Disorder_Bipolar.Disorder_vs_Control
oligodendrocyte.precursor.cell	OPC	93.75208820581356	Disorder_Bipolar.Disorder_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	57.84543325526932	Disorder_Bipolar.Disorder_vs_Control
vascular	VLMC	0.0	Disorder_Bipolar.Disorder_vs_Control
vascular	Endo	54.14781297134238	Disorder_Bipolar.Disorder_vs_Control
vascular	PC	68.97297297297297	Disorder_Bipolar.Disorder_vs_Control
vascular	SMC	0.0	Disorder_Bipolar.Disorder_vs_Control
