ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.03625942399233222	0.06247783976316385
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.293249795702244	0.22809951642465195
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	-0.008695870886751179	0.039728364446953594
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.22168465322242256	0.15941990807257958
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.8256011447778123	0.64308787139587
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	-0.010744454426726634	0.04704429117856282
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.1488551909693107	0.11431541326882924
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.0012713150423874291	0.058882982065857244
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.11216727520644289	0.12860993466596957
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	-0.012003713113060572	0.06385910646444153
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	-0.011051447299437765	0.03973615894089437
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.03982436680977387	-0.004812574010854561
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.31996634998092016	0.22697494205111515
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	-0.006892824976525325	0.057634945413825675
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.28076530148695655	0.20604537144515472
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.2232033332319788	0.17687234690698012
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.03806252985233931	-0.013715054594064286
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.28731401715941257	0.1922742344541202
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.49989374084680044	0.312375722874172
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.6881192065080736	0.5017856098329281
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.15418103486011764	0.14943964206746554
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.3677693976158987	0.27550238510773195
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.3239094444675972	0.18113556477879192
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.468298727668691	0.2271550293410108
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	0.2833242937711555	0.22727834552622522
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	0.5367522497842749	0.33260086439961223
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	0.3679209504403297	0.17283900931462848
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.036920002626447936	0.07858090568345362
chandelier.pvalb.GABAergic.cortical.interneuron	Endo	0.44127914555306286	0.3019768476323704
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	0.3578958745722871	0.16892027784425342
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9986385241518366	0.9942146142635526
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	0.35836376470682596	0.19992879783609196
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.5967033253861471	0.2919470998626514
chandelier.pvalb.GABAergic.cortical.interneuron	PC	0.4395184279853119	0.2698295068482762
chandelier.pvalb.GABAergic.cortical.interneuron	Oligo	0.5414451337146293	0.015339093399762083
chandelier.pvalb.GABAergic.cortical.interneuron	L6_CT	0.21862364112916544	0.2292406214281854
chandelier.pvalb.GABAergic.cortical.interneuron	Sncg	0.5578093952995319	0.3234508864291895
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	0.3079546897601586	0.24766200619284975
chandelier.pvalb.GABAergic.cortical.interneuron	L5.6_NP	0.2506840697509029	0.24947954556411014
chandelier.pvalb.GABAergic.cortical.interneuron	Sst_Chodl	0.31627693981250776	0.3143235614518479
chandelier.pvalb.GABAergic.cortical.interneuron	Pvalb	0.3096827073729393	0.2036366002042164
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT	0.23851056872538134	0.1382319482578853
chandelier.pvalb.GABAergic.cortical.interneuron	L5_IT	0.13038536431424075	0.18055234881892496
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5	0.4210724937267731	0.24572266696413655
chandelier.pvalb.GABAergic.cortical.interneuron	L6b	0.14906149797018803	0.22626425086614227
chandelier.pvalb.GABAergic.cortical.interneuron	L4_IT	0.4239453017804685	0.1555522468636377
lamp5.GABAergic.cortical.interneuron	Micro	0.380852088536022	0.16087436434326757
lamp5.GABAergic.cortical.interneuron	Sst	0.5228993511426338	0.31410692403835794
lamp5.GABAergic.cortical.interneuron	Pax6	0.38456427375238716	0.21070913273607997
lamp5.GABAergic.cortical.interneuron	Vip	0.5544207158167453	0.2529514658210094
lamp5.GABAergic.cortical.interneuron	L2.3_IT	0.28270431960497827	0.1567086323806251
