ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.07061420749822402	-0.0011057036406470868
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.369729327064511	0.14404294960374175
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.17896616309451358	0.0019392039058407774
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.0032762304987445355	0.012390175962218251
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.34027527913788097	0.15738246940589745
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.7541015278273443	0.6123647765934633
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.2313555908927979	0.10327862685918526
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.18183983733941067	0.01278438271823602
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.19666988445499356	0.06049552420180962
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.28937073830644683	0.07394500849103004
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.05670163242970487	-0.007980174777881491
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.09781102238243954	0.007216542920754368
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.28055200014796283	0.09840780031466989
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.331039710068169	0.12390251649926211
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.24941056191426916	0.052441821806423185
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.3778636085737951	0.1138588318646178
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.35572791390787484	0.15112400112659485
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.3429911214640903	0.14438069904943332
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.7762463051478835	0.5913186174883871
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.6351859658081173	0.41369187955407793
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.32650234019846214	0.11827914138894331
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.31050112507604594	0.1182031493860871
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.6853677861340126	0.4803071866445264
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.07140983799176143	0.29161955142148316
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	0.18597307166102334	0.13167109940868935
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	0.17052360528980073	0.3390051184539039
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	-0.030807971382124447	0.17877879414910838
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	0.17247050012823084	0.03583419838689769
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.1626395995677181	0.048406082489702955
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	0.13514558856268985	0.10286372927420469
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9982962114660291	0.9970377677796789
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	0.15609657118544532	0.2145540960380657
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.1891469333132822	0.2863257138213393
