ct_sc_pipeline	ct_author	percent_overlap
vascular.leptomeningeal.cell	Micro	1.694915254237288
vascular.leptomeningeal.cell	Sst	0.0
vascular.leptomeningeal.cell	Pax6	0.0
vascular.leptomeningeal.cell	VLMC	0.0
vascular.leptomeningeal.cell	Vip	0.0
vascular.leptomeningeal.cell	L5_ET	0.0
vascular.leptomeningeal.cell	L2.3_IT	1.1111111111111112
vascular.leptomeningeal.cell	Endo	0.0
vascular.leptomeningeal.cell	Astro	0.0
vascular.leptomeningeal.cell	Chandelier	0.0
vascular.leptomeningeal.cell	OPC	0.0
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.0
vascular.leptomeningeal.cell	Immune	0.0
vascular.leptomeningeal.cell	PC	14.673913043478262
vascular.leptomeningeal.cell	Oligo	0.0
vascular.leptomeningeal.cell	L6_CT	0.0
vascular.leptomeningeal.cell	Sncg	0.0
vascular.leptomeningeal.cell	L6_IT_Car3	0.0
vascular.leptomeningeal.cell	L5.6_NP	0.0
vascular.leptomeningeal.cell	SMC	11.30952380952381
vascular.leptomeningeal.cell	Sst_Chodl	0.0
vascular.leptomeningeal.cell	Pvalb	0.0
vascular.leptomeningeal.cell	L6_IT	0.5988023952095808
vascular.leptomeningeal.cell	L5_IT	0.5882352941176471
vascular.leptomeningeal.cell	Lamp5	0.0
vascular.leptomeningeal.cell	L6b	0.0
vascular.leptomeningeal.cell	L4_IT	0.0
sst.GABAergic.cortical.interneuron	Micro	0.0
sst.GABAergic.cortical.interneuron	Sst	0.0
sst.GABAergic.cortical.interneuron	Pax6	0.0
sst.GABAergic.cortical.interneuron	VLMC	0.0
sst.GABAergic.cortical.interneuron	Vip	0.0
sst.GABAergic.cortical.interneuron	L5_ET	0.0
sst.GABAergic.cortical.interneuron	L2.3_IT	0.0
sst.GABAergic.cortical.interneuron	Endo	0.0
sst.GABAergic.cortical.interneuron	Astro	0.0
sst.GABAergic.cortical.interneuron	Chandelier	0.0
sst.GABAergic.cortical.interneuron	OPC	0.0
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.0
sst.GABAergic.cortical.interneuron	Immune	0.0
sst.GABAergic.cortical.interneuron	PC	0.11210762331838565
sst.GABAergic.cortical.interneuron	Oligo	0.0
sst.GABAergic.cortical.interneuron	L6_CT	0.0
sst.GABAergic.cortical.interneuron	Sncg	0.0
sst.GABAergic.cortical.interneuron	L6_IT_Car3	0.0
sst.GABAergic.cortical.interneuron	L5.6_NP	0.0
sst.GABAergic.cortical.interneuron	SMC	0.0
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.0
sst.GABAergic.cortical.interneuron	Pvalb	0.0
sst.GABAergic.cortical.interneuron	L6_IT	0.0
sst.GABAergic.cortical.interneuron	L5_IT	0.0
sst.GABAergic.cortical.interneuron	Lamp5	0.0
sst.GABAergic.cortical.interneuron	L6b	0.0
sst.GABAergic.cortical.interneuron	L4_IT	0.0
lamp5.GABAergic.cortical.interneuron	Micro	0.0
lamp5.GABAergic.cortical.interneuron	Sst	0.0
lamp5.GABAergic.cortical.interneuron	Pax6	0.0
lamp5.GABAergic.cortical.interneuron	VLMC	0.0
lamp5.GABAergic.cortical.interneuron	Vip	0.0
lamp5.GABAergic.cortical.interneuron	L5_ET	0.0
lamp5.GABAergic.cortical.interneuron	L2.3_IT	4.3478260869565215
lamp5.GABAergic.cortical.interneuron	Endo	0.0
lamp5.GABAergic.cortical.interneuron	Astro	0.0
lamp5.GABAergic.cortical.interneuron	Chandelier	0.0
lamp5.GABAergic.cortical.interneuron	OPC	0.0
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	28.571428571428573
lamp5.GABAergic.cortical.interneuron	Immune	0.0
lamp5.GABAergic.cortical.interneuron	PC	0.22346368715083798
lamp5.GABAergic.cortical.interneuron	Oligo	0.0
lamp5.GABAergic.cortical.interneuron	L6_CT	0.0
lamp5.GABAergic.cortical.interneuron	Sncg	0.0
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	0.0
lamp5.GABAergic.cortical.interneuron	L5.6_NP	0.0
lamp5.GABAergic.cortical.interneuron	SMC	0.0
lamp5.GABAergic.cortical.interneuron	Sst_Chodl	0.0
lamp5.GABAergic.cortical.interneuron	Pvalb	18.181818181818183
lamp5.GABAergic.cortical.interneuron	L6_IT	0.0
lamp5.GABAergic.cortical.interneuron	L5_IT	0.0
lamp5.GABAergic.cortical.interneuron	Lamp5	20.0
lamp5.GABAergic.cortical.interneuron	L6b	0.0
lamp5.GABAergic.cortical.interneuron	L4_IT	0.0
sncg.GABAergic.cortical.interneuron	Micro	0.0
sncg.GABAergic.cortical.interneuron	Sst	
sncg.GABAergic.cortical.interneuron	Pax6	
sncg.GABAergic.cortical.interneuron	VLMC	
sncg.GABAergic.cortical.interneuron	Vip	0.0
sncg.GABAergic.cortical.interneuron	L5_ET	0.0
sncg.GABAergic.cortical.interneuron	L2.3_IT	0.0
sncg.GABAergic.cortical.interneuron	Endo	
sncg.GABAergic.cortical.interneuron	Astro	
sncg.GABAergic.cortical.interneuron	Chandelier	
sncg.GABAergic.cortical.interneuron	OPC	
sncg.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.0
sncg.GABAergic.cortical.interneuron	Immune	
sncg.GABAergic.cortical.interneuron	PC	0.0
sncg.GABAergic.cortical.interneuron	Oligo	0.0
sncg.GABAergic.cortical.interneuron	L6_CT	0.0
sncg.GABAergic.cortical.interneuron	Sncg	
sncg.GABAergic.cortical.interneuron	L6_IT_Car3	
sncg.GABAergic.cortical.interneuron	L5.6_NP	
sncg.GABAergic.cortical.interneuron	SMC	0.0
sncg.GABAergic.cortical.interneuron	Sst_Chodl	
sncg.GABAergic.cortical.interneuron	Pvalb	0.0
sncg.GABAergic.cortical.interneuron	L6_IT	0.0
sncg.GABAergic.cortical.interneuron	L5_IT	0.0
sncg.GABAergic.cortical.interneuron	Lamp5	0.0
sncg.GABAergic.cortical.interneuron	L6b	
sncg.GABAergic.cortical.interneuron	L4_IT	0.0
microglial.cell	Micro	0.0
microglial.cell	Sst	
microglial.cell	Pax6	
microglial.cell	VLMC	
microglial.cell	Vip	0.0
microglial.cell	L5_ET	0.0
microglial.cell	L2.3_IT	0.0
microglial.cell	Endo	
microglial.cell	Astro	
microglial.cell	Chandelier	
microglial.cell	OPC	
microglial.cell	Lamp5_Lhx6	0.0
microglial.cell	Immune	
microglial.cell	PC	0.0
microglial.cell	Oligo	0.0
microglial.cell	L6_CT	0.0
microglial.cell	Sncg	
microglial.cell	L6_IT_Car3	
microglial.cell	L5.6_NP	
microglial.cell	SMC	0.0
microglial.cell	Sst_Chodl	
microglial.cell	Pvalb	0.0
microglial.cell	L6_IT	0.0
microglial.cell	L5_IT	0.0
microglial.cell	Lamp5	0.0
microglial.cell	L6b	
microglial.cell	L4_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Micro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Sst	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Pax6	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	VLMC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Vip	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L5_ET	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L2.3_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Endo	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Astro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Chandelier	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	OPC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Lamp5_Lhx6	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Immune	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	PC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Oligo	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	100.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Sncg	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_IT_Car3	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L5.6_NP	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	SMC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Sst_Chodl	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Pvalb	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L5_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Lamp5	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6b	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L4_IT	0.0
PAX6.GABAergic.cortical.interneuron	Micro	0.0
PAX6.GABAergic.cortical.interneuron	Sst	
PAX6.GABAergic.cortical.interneuron	Pax6	
PAX6.GABAergic.cortical.interneuron	VLMC	
