ct_sc_pipeline	ct_author	percent_overlap	contrast
vascular.leptomeningeal.cell	VLMC	0.4739336492890995	Disorder_ASD_vs_Control
sst.GABAergic.cortical.interneuron	Sst	82.77913895694785	Disorder_ASD_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.0	Disorder_ASD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	29.573420836751435	Disorder_ASD_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	67.16754320060105	Disorder_ASD_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	55.86053412462908	Disorder_ASD_vs_Control
microglial.cell	Micro	67.79661016949153	Disorder_ASD_vs_Control
microglial.cell	Immune	7.6923076923076925	Disorder_ASD_vs_Control
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	55.043103448275865	Disorder_ASD_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	29.160063391442154	Disorder_ASD_vs_Control
oligodendrocyte	Oligo	81.55339805825243	Disorder_ASD_vs_Control
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	10.321100917431192	Disorder_ASD_vs_Control
oligodendrocyte.precursor.cell	OPC	79.69543147208122	Disorder_ASD_vs_Control
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	76.51458489154824	Disorder_ASD_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	68.29268292682927	Disorder_ASD_vs_Control
endothelial.cell	Endo	18.837209302325583	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	70.60518731988472	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	22.03271841280891	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	58.43124276021843	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	60.50818919332619	Disorder_ASD_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	47.13870029097963	Disorder_ASD_vs_Control
vip.GABAergic.cortical.interneuron	Vip	82.68156424581005	Disorder_ASD_vs_Control
L6b.glutamatergic.cortical.neuron	L6b	70.43085476025017	Disorder_ASD_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	84.86776029460998	Disorder_ASD_vs_Control
astrocyte	Astro	75.51724137931035	Disorder_ASD_vs_Control
