ct_sc_pipeline	ct_author	percent_overlap	contrast
vascular.leptomeningeal.cell	VLMC	63.1578947368421	Biological_Sex_male_vs_female
sst.GABAergic.cortical.interneuron	Sst	91.42857142857144	Biological_Sex_male_vs_female
sst.GABAergic.cortical.interneuron	Sst_Chodl	38.70967741935484	Biological_Sex_male_vs_female
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	65.78947368421052	Biological_Sex_male_vs_female
lamp5.GABAergic.cortical.interneuron	Lamp5	77.27272727272727	Biological_Sex_male_vs_female
sncg.GABAergic.cortical.interneuron	Sncg	84.61538461538461	Biological_Sex_male_vs_female
microglial.cell	Micro	76.92307692307692	Biological_Sex_male_vs_female
microglial.cell	Immune	50.0	Biological_Sex_male_vs_female
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	4.426002766251729	Biological_Sex_male_vs_female
PAX6.GABAergic.cortical.interneuron	Pax6	95.23809523809524	Biological_Sex_male_vs_female
oligodendrocyte	Oligo	93.93939393939394	Biological_Sex_male_vs_female
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_ET	65.38461538461539	Biological_Sex_male_vs_female
oligodendrocyte.precursor.cell	OPC	100.0	Biological_Sex_male_vs_female
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	87.09677419354838	Biological_Sex_male_vs_female
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	95.83333333333331	Biological_Sex_male_vs_female
endothelial.cell	Endo	93.33333333333331	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	75.64102564102564	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	9.75609756097561	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	49.31506849315068	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	37.735849056603776	Biological_Sex_male_vs_female
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	52.17391304347826	Biological_Sex_male_vs_female
vip.GABAergic.cortical.interneuron	Vip	90.2439024390244	Biological_Sex_male_vs_female
L6b.glutamatergic.cortical.neuron	L6b	82.85714285714286	Biological_Sex_male_vs_female
pvalb.GABAergic.cortical.interneuron	Pvalb	83.33333333333333	Biological_Sex_male_vs_female
astrocyte	Astro	91.83673469387756	Biological_Sex_male_vs_female
