ct_sc_pipeline	average_spearman_log2FoldChange	sd_spearman_log2FoldChange	n_pairs
oligodendrocyte.precursor.cell	0.982304253397731	0.012781795422320361	8
vip.GABAergic.cortical.interneuron	0.9757669932148059	0.014086889744881734	8
near.projecting.glutamatergic.cortical.neuron	0.9749873864056403	0.02240190936143071	8
astrocyte	0.9666292446108449	0.027182641251625728	8
pvalb.GABAergic.cortical.interneuron	0.9654085751688882	0.03014641836157834	8
chandelier.pvalb.GABAergic.cortical.interneuron	0.9547099822674849	0.04820322726977874	8
oligodendrocyte	0.9415278354951565	0.05723043432624584	8
L6b.glutamatergic.cortical.neuron	0.8962561786811188	0.11866327052654661	8
sncg.GABAergic.cortical.interneuron	0.8651991738938233	0.0632610033488665	8
PAX6.GABAergic.cortical.interneuron	0.8542496582476931	0.09101006967167925	8
corticothalamic.projecting.glutamatergic.cortical.neuron	0.8433815550672452	0.1399514756012263	8
lamp5.GABAergic.cortical.interneuron	0.832354000875736	0.07880402415773488	16
endothelial.cell	0.8059804131044341	0.11535926941779479	8
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	0.7446753494886743	0.15332142893432327	40
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	0.6739571976089936	0.246082659048351	8
sst.GABAergic.cortical.interneuron	0.666259836278386	0.30899160967332795	16
microglial.cell	0.6376962023314829	0.33911159998223395	16
vascular.leptomeningeal.cell	0.47528311315003685	0.12734720059997917	8
